"state","year","cigsale","lnincome","beer","age15to24","retprice","UnitId"
"Delaware",1971,161.1,NA,NA,0.1758872,41.3,6
"Delaware",1972,156.3,9.90993,NA,0.1784168,44.7,6
"Delaware",1973,154.7,9.948177,NA,0.1809463,44,6
"Delaware",1974,151.3,9.918258,NA,0.1834759,44.2,6
"Delaware",1975,147.6,9.887531,NA,0.1860054,45.9,6
"Delaware",1976,153,9.920685,NA,0.188535,50.1,6
"Delaware",1977,153.3,9.933779,NA,0.1910645,51.7,6
"Delaware",1978,155.5,9.944127,NA,0.1935941,58.7,6
"Delaware",1979,150.2,9.926104,NA,0.1961236,60,6
"Delaware",1980,150.5,9.913744,NA,0.1986532,62.7,6
"Delaware",1981,152.6,9.901393,NA,0.193546,66,6
"Delaware",1982,154.1,9.904337,NA,0.1884388,74.1,6
"Delaware",1983,149.6,9.934576,NA,0.1833317,82,6
"Delaware",1984,144,9.962282,26.6,0.1782245,91.1,6
"Delaware",1985,144.5,9.996334,26.2,0.1731173,98.7,6
"Delaware",1986,142.4,10.03209,26,0.1680101,105.2,6
"Delaware",1987,141,10.04857,25.9,0.162903,111.4,6
"Delaware",1988,137.1,10.07772,25.7,0.1577958,119.3,6
"Delaware",1989,131.7,10.10361,24.9,0.1526886,124,6
"Delaware",1990,127.2,10.0948,25.8,0.1475815,140,6
"Delaware",1991,118.8,10.08306,24.9,NA,143.2,6
"Delaware",1992,120,10.09146,25.2,NA,174.7,6
"Delaware",1993,123.8,10.09208,26.2,NA,187.9,6
"Delaware",1994,126.1,10.13125,25.9,NA,152.5,6
"Delaware",1995,127.2,10.22965,24.6,NA,160.7,6
"Delaware",1996,128.3,10.26239,24.6,NA,169.1,6
"Delaware",1997,124.1,10.26168,24.9,NA,171.9,6
"Delaware",1998,132.8,NA,NA,NA,179.2,6
"Delaware",1999,139.5,NA,NA,NA,198.3,6
"Delaware",2000,140.7,NA,NA,NA,276.2,6
"Georgia",1970,109.9,NA,NA,0.1874455,34.3,7
"Georgia",1971,115.7,NA,NA,0.1878663,35.8,7
"Georgia",1972,117,9.63889,NA,0.188287,40.9,7
"Georgia",1973,119.8,9.684865,NA,0.1887077,42.4,7
"Georgia",1974,123.7,9.659981,NA,0.1891285,42.4,7
"Georgia",1975,122.9,9.629609,NA,0.1895492,44.5,7
"Georgia",1976,125.9,9.67143,NA,0.18997,47.9,7
"Georgia",1977,127.9,9.693337,NA,0.1903907,49.5,7
"Georgia",1978,130.6,9.736651,NA,0.1908115,54.7,7
"Georgia",1979,131,9.729302,NA,0.1912322,56.6,7
"Georgia",1980,134,9.701445,NA,0.1916529,59.3,7
"Georgia",1981,131.7,9.704944,NA,0.1879757,62.6,7
"Georgia",1982,131.2,9.707344,NA,0.1842985,67.8,7
"Georgia",1983,128.6,9.755732,NA,0.1806213,78.9,7
"Georgia",1984,126.3,9.82549,21.3,0.1769441,86.8,7
"Georgia",1985,128.8,9.862127,21.4,0.1732669,90.7,7
"Georgia",1986,129,9.913809,22.1,0.1695897,100.1,7
"Georgia",1987,129.3,9.930798,22.3,0.1659125,103.9,7
"Georgia",1988,124.1,9.952863,21.7,0.1622353,109.2,7
"Georgia",1989,117.1,9.953909,21.5,0.1585581,122.4,7
"Georgia",1990,113.8,9.953298,22.3,0.1548809,132.3,7
"Georgia",1991,109.6,9.941865,21.2,NA,138.2,7
"Georgia",1992,109.2,9.958565,21.6,NA,159.5,7
"Georgia",1993,109.2,9.967873,21.7,NA,167.2,7
"Georgia",1994,107.8,9.99824,21.4,NA,147.8,7
"Georgia",1995,100.3,10.05544,21.5,NA,153.8,7
"Georgia",1996,102.7,10.07977,22,NA,156.1,7
"Georgia",1997,100.6,10.08141,21.6,NA,158.9,7
"Georgia",1998,100.5,NA,NA,NA,168.7,7
"Georgia",1999,97.1,NA,NA,NA,188,7
"Georgia",2000,88.4,NA,NA,NA,257.4,7
"Idaho",1970,102.4,NA,NA,0.1781206,33.8,8
"Idaho",1971,108.5,NA,NA,0.1760924,33.6,8
"Idaho",1972,126.1,9.651839,NA,0.1740643,33.7,8
"Idaho",1973,121.8,9.721051,NA,0.1720361,36.3,8
"Idaho",1974,125.6,9.746263,NA,0.170008,38,8
"Idaho",1975,123.3,9.692201,NA,0.1679798,40.3,8
"Idaho",1976,125.1,9.731101,NA,0.1659516,42.5,8
"Idaho",1977,125,9.726507,NA,0.1639235,45.6,8
"Idaho",1978,122.8,9.768933,NA,0.1618953,51.5,8
"Idaho",1979,117.5,9.737336,NA,0.1598672,55.4,8
"Idaho",1980,115.2,9.711496,NA,0.157839,56.4,8
"Idaho",1981,114.1,9.684898,NA,0.1563834,59.2,8
"Idaho",1982,111.5,9.645257,NA,0.1549278,67.6,8
"Idaho",1983,111.3,9.694544,NA,0.1534723,76.5,8
"Idaho",1984,103.6,9.707316,23.2,0.1520167,88.5,8
"Idaho",1985,100.7,9.715257,22.3,0.1505612,97.6,8
"Idaho",1986,96.7,9.736214,22.5,0.1491056,99.9,8
"Idaho",1987,95,9.740723,22,0.14765,107.1,8
"Idaho",1988,84.5,9.766004,21.1,0.1461945,121.9,8
"Idaho",1989,78.4,9.827927,21.6,0.1447389,133.6,8
"Idaho",1990,90.1,9.839928,22.9,0.1432833,141.3,8
"Idaho",1991,85.4,9.835094,22.2,NA,144.4,8
"Idaho",1992,85.1,9.85615,22.6,NA,167.2,8
"Idaho",1993,86.7,9.877363,21.8,NA,171.2,8
"Idaho",1994,93,9.903079,21.4,NA,150.5,8
"Idaho",1995,78.2,9.919679,20.1,NA,163.5,8
"Idaho",1996,73.6,9.933634,20.6,NA,176.5,8
"Idaho",1997,75,9.921952,20.1,NA,184.4,8
"Idaho",1998,78.9,NA,NA,NA,187.1,8
"Idaho",1999,75.1,NA,NA,NA,210.7,8
"Idaho",2000,66.9,NA,NA,NA,275.9,8
"Illinois",1970,124.8,NA,NA,0.1669667,41.4,9
"Illinois",1971,125.6,NA,NA,0.1689976,41.4,9
"Illinois",1972,126.6,9.908161,NA,0.1710285,41.9,9
"Illinois",1973,124.4,9.961596,NA,0.1730594,41,9
"Illinois",1974,131.9,9.946315,NA,0.1750903,41.9,9
"Illinois",1975,131.8,9.93419,NA,0.1771212,45.2,9
"Illinois",1976,134.4,9.965498,NA,0.1791521,48.4,9
"Illinois",1977,134,9.996949,NA,0.181183,49.4,9
"Illinois",1978,136.7,10.0236,NA,0.1832139,54.6,9
"Illinois",1979,135.3,10.01367,NA,0.1852448,56.8,9
"Illinois",1980,135.2,9.962173,NA,0.1872758,60,9
"Illinois",1981,133,9.965017,NA,0.1830271,63.1,9
"Illinois",1982,130.7,9.944979,NA,0.1787785,69.6,9
"Illinois",1983,127.9,9.954803,NA,0.1745298,80.8,9
"Illinois",1984,124,10.00314,24.6,0.1702812,89.6,9
"Illinois",1985,121.6,10.02082,24.3,0.1660325,96.7,9
"Illinois",1986,118.2,10.0553,24.7,0.1617839,108.4,9
"Illinois",1987,109.5,10.06775,25.1,0.1575353,116.2,9
"Illinois",1988,107.6,10.08796,25,0.1532866,124.1,9
"Illinois",1989,104.6,10.11391,24.4,0.149038,132.7,9
"Illinois",1990,94.1,10.11675,25.7,0.1447893,147.3,9
"Illinois",1991,96.1,10.09824,24.4,NA,154,9
"Illinois",1992,94.8,10.12329,23.8,NA,179.8,9
"Illinois",1993,94.6,10.12783,23.5,NA,187.5,9
"Illinois",1994,85.7,10.15419,23.6,NA,182.1,9
"Illinois",1995,84.3,10.20035,23.2,NA,185.2,9
"Illinois",1996,81.8,10.22424,22.9,NA,188.7,9
"Illinois",1997,79.6,10.23659,22.9,NA,198.7,9
"Illinois",1998,80.3,NA,NA,NA,202.3,9
"Illinois",1999,72.2,NA,NA,NA,240.5,9
"Illinois",2000,70,NA,NA,NA,312.7,9
"Indiana",1970,134.6,NA,NA,0.1765159,30.6,10
"Indiana",1971,139.3,NA,NA,0.1779718,32.2,10
"Indiana",1972,149.2,9.731873,NA,0.1794276,32.5,10
"Indiana",1973,156,9.806883,NA,0.1808835,32.9,10
"Indiana",1974,159.6,9.763185,NA,0.1823394,34.5,10
"Indiana",1975,162.4,9.743661,NA,0.1837953,36.7,10
"Indiana",1976,166.6,9.798755,NA,0.1852512,38.7,10
"Indiana",1977,173,9.833315,NA,0.186707,40.6,10
"Indiana",1978,150.9,9.865232,NA,0.1881629,50,10
"Indiana",1979,148.9,9.851489,NA,0.1896188,52.5,10
"Indiana",1980,146.9,9.795776,NA,0.1910747,53.7,10
"Indiana",1981,148.5,9.78815,NA,0.1870784,58.3,10
"Indiana",1982,147.7,9.757754,NA,0.1830822,65.1,10
"Indiana",1983,143,9.775058,NA,0.1790859,75.7,10
"Indiana",1984,137.8,9.829457,22,0.1750897,85.2,10
"Indiana",1985,135.3,9.844302,22,0.1710934,88.8,10
"Indiana",1986,137.6,9.882232,22.1,0.1670971,93.6,10
"Indiana",1987,134,9.897043,21.9,0.1631009,100.1,10
"Indiana",1988,134,9.915045,21.9,0.1591046,109.3,10
"Indiana",1989,132.5,9.936582,21.5,0.1551084,119,10
"Indiana",1990,128.3,9.935142,22.4,0.1511121,130.8,10
"Indiana",1991,127.2,9.921082,21.6,NA,135.8,10
"Indiana",1992,128.2,9.953797,20.7,NA,153.5,10
"Indiana",1993,126.8,9.965633,20.5,NA,157.5,10
"Indiana",1994,128.2,10.00135,20.6,NA,146.6,10
"Indiana",1995,135.4,10.04371,20.1,NA,146.3,10
"Indiana",1996,135.1,10.06089,20.3,NA,147.8,10
"Indiana",1997,135.3,10.05211,20.3,NA,156.3,10
"Indiana",1998,135.9,NA,NA,NA,166.8,10
"Indiana",1999,133.3,NA,NA,NA,190,10
"Indiana",2000,125.5,NA,NA,NA,260.2,10
"Iowa",1970,108.5,NA,NA,0.1688496,37.7,11
"Iowa",1971,108.4,NA,NA,0.170839,38.5,11
"Iowa",1972,109.4,9.730265,NA,0.1728285,41.9,11
"Iowa",1973,110.6,9.858372,NA,0.1748179,41.9,11
"Iowa",1974,116.1,9.788277,NA,0.1768073,43.2,11
"Iowa",1975,120.5,9.800288,NA,0.1787968,45.4,11
"Iowa",1976,124.4,9.803332,NA,0.1807862,47.8,11
"Iowa",1977,125.5,9.83932,NA,0.1827757,49.4,11
"Iowa",1978,127.1,9.914184,NA,0.1847651,54.6,11
"Iowa",1979,124.2,9.881053,NA,0.1867546,56.4,11
"Iowa",1980,124.6,9.810102,NA,0.188744,58.8,11
"Iowa",1981,132.9,9.838684,NA,0.1840352,61.4,11
"Iowa",1982,116.2,9.795305,NA,0.1793265,72.8,11
"Iowa",1983,115.6,9.783572,NA,0.1746177,84,11
"Iowa",1984,111.2,9.831582,23.9,0.1699089,93.3,11
"Iowa",1985,109.4,9.839345,22.9,0.1652002,99.5,11
"Iowa",1986,104.1,9.870234,23.3,0.1604914,104.8,11
"Iowa",1987,101.1,9.887944,23.1,0.1557826,117.1,11
"Iowa",1988,100.2,9.875571,23,0.1510739,124.2,11
"Iowa",1989,94.4,9.915924,22.7,0.1463651,145.1,11
"Iowa",1990,95.4,9.927806,23.6,0.1416564,149.6,11
"Iowa",1991,97.1,9.911109,23.5,NA,155.4,11
"Iowa",1992,95.2,9.942481,23.3,NA,178.5,11
"Iowa",1993,92.5,9.920983,23,NA,189.7,11
"Iowa",1994,93.4,9.996867,23.3,NA,171.4,11
"Iowa",1995,93,10.00185,22.7,NA,179,11
"Iowa",1996,94,10.04901,23.1,NA,183.8,11
"Iowa",1997,93.9,10.04928,23.3,NA,189.3,11
"Iowa",1998,94,NA,NA,NA,193.8,11
"Iowa",1999,91.7,NA,NA,NA,213,11
"Iowa",2000,88.9,NA,NA,NA,286.3,11
"Kansas",1970,114,NA,NA,0.1805247,34.2,12
"Kansas",1971,102.8,NA,NA,0.18155,38.9,12
"Kansas",1972,111,9.768118,NA,0.1825754,38.8,12
"Kansas",1973,115.2,9.838229,NA,0.1836008,39.3,12
"Kansas",1974,118.6,9.810897,NA,0.1846261,40.2,12
"Kansas",1975,123.4,9.800612,NA,0.1856515,42.7,12
"Kansas",1976,127.7,9.830626,NA,0.1866769,46.6,12
"Kansas",1977,127.9,9.848077,NA,0.1877022,48.1,12
"Kansas",1978,127.1,9.875605,NA,0.1887276,52.6,12
"Kansas",1979,126.4,9.903797,NA,0.189753,54.8,12
"Kansas",1980,127.1,9.862444,NA,0.1907783,58.3,12
"Kansas",1981,132,9.877179,NA,0.1857294,59.8,12
"Kansas",1982,130.9,9.881304,NA,0.1806805,65.1,12
"Kansas",1983,127.6,9.885566,NA,0.1756316,77,12
"Kansas",1984,121.7,9.916465,20.7,0.1705827,91,12
"Kansas",1985,115.7,9.935948,20.1,0.1655337,97.5,12
"Kansas",1986,109.4,9.961418,19.9,0.1604848,103,12
"Kansas",1987,105.2,9.96282,19.7,0.1554359,114.5,12
"Kansas",1988,103.2,9.969703,19.3,0.150387,123.9,12
"Kansas",1989,96.5,9.962953,19.4,0.145338,136.5,12
"Kansas",1990,94.3,9.983666,19.7,0.1402891,145.8,12
"Kansas",1991,91.8,9.976418,20,NA,152.7,12
"Kansas",1992,90,9.998267,19.2,NA,174.2,12
"Kansas",1993,89.9,10.00207,19.4,NA,174.2,12
"Kansas",1994,89.1,10.02658,19.5,NA,159.6,12
"Kansas",1995,90.1,10.04495,19.1,NA,165.7,12
"Kansas",1996,88.7,10.07641,18.9,NA,167.7,12
"Kansas",1997,89.2,10.08714,19.7,NA,171.3,12
"Kansas",1998,87.6,NA,NA,NA,184.3,12
"Kansas",1999,83.3,NA,NA,NA,207,12
"Kansas",2000,79.8,NA,NA,NA,271.2,12
"Kentucky",1970,155.8,NA,NA,0.1813101,28.3,13
"Kentucky",1971,163.5,NA,NA,0.1822996,30.1,13
"Kentucky",1972,179.4,9.547482,NA,0.183289,30.6,13
"Kentucky",1973,201.9,9.598115,NA,0.1842785,30.6,13
"Kentucky",1974,212.4,9.600525,NA,0.1852679,31.5,13
"Kentucky",1975,223,9.579324,NA,0.1862574,33.3,13
"Kentucky",1976,230.9,9.624857,NA,0.1872468,36,13
"Kentucky",1977,229.4,9.672666,NA,0.1882363,36.9,13
"Kentucky",1978,224.7,9.703743,NA,0.1892257,41.4,13
"Kentucky",1979,214.9,9.70251,NA,0.1902151,43.4,13
"Kentucky",1980,215.3,9.661359,NA,0.1912046,46.3,13
"Kentucky",1981,209.7,9.665572,NA,0.1872535,49.4,13
"Kentucky",1982,210.6,9.65426,NA,0.1833023,56.3,13
"Kentucky",1983,201.1,9.642765,NA,0.1793512,66.4,13
"Kentucky",1984,183.2,9.699555,18.5,0.1754001,75.4,13
"Kentucky",1985,182.4,9.703631,18.9,0.1714489,79.3,13
"Kentucky",1986,179.8,9.729917,19.2,0.1674978,85.4,13
"Kentucky",1987,171.2,9.739725,19,0.1635467,90.5,13
"Kentucky",1988,173.2,9.758579,19.1,0.1595956,94.4,13
"Kentucky",1989,171.6,9.787341,18.3,0.1556444,103.8,13
"Kentucky",1990,182.5,9.804601,20.1,0.1516933,115.6,13
"Kentucky",1991,170.4,9.808981,19.4,NA,120.5,13
"Kentucky",1992,167.6,9.841689,19,NA,135.8,13
"Kentucky",1993,167.6,9.84325,19.3,NA,145.4,13
"Kentucky",1994,170.1,9.8684,19.6,NA,132.8,13
"Kentucky",1995,175.3,9.903476,18.9,NA,134.8,13
"Kentucky",1996,179,9.927487,19.1,NA,139.8,13
"Kentucky",1997,186.8,9.932178,19.3,NA,145.6,13
"Kentucky",1998,171.3,NA,NA,NA,155.7,13
"Kentucky",1999,165.3,NA,NA,NA,179.2,13
"Kentucky",2000,156.2,NA,NA,NA,243.4,13
"Louisiana",1970,115.9,NA,NA,0.1851852,34.3,14
"Louisiana",1971,119.8,NA,NA,0.1867808,39.3,14
"Louisiana",1972,125.3,9.517365,NA,0.1883764,40,14
"Louisiana",1973,126.7,9.564111,NA,0.189972,39.9,14
"Louisiana",1974,129.9,9.57982,NA,0.1915676,41.6,14
"Louisiana",1975,133.6,9.585208,NA,0.1931632,44.3,14
"Louisiana",1976,139.6,9.644329,NA,0.1947588,48.1,14
"Louisiana",1977,140,9.679078,NA,0.1963544,48.9,14
"Louisiana",1978,142.7,9.731681,NA,0.19795,54.2,14
"Louisiana",1979,140.1,9.737775,NA,0.1995456,57.1,14
"Louisiana",1980,143.8,9.739491,NA,0.2011412,60,14
"Louisiana",1981,144,9.765061,NA,0.1963432,62.6,14
"Louisiana",1982,143.9,9.753126,NA,0.1915451,70.3,14
"Louisiana",1983,133.7,9.746861,NA,0.186747,80.7,14
"Louisiana",1984,128.9,9.760681,23.8,0.1819489,90.7,14
"Louisiana",1985,125,9.76166,23,0.1771508,103,14
"Louisiana",1986,121.2,9.740594,23.7,0.1723528,105.1,14
"Louisiana",1987,116.5,9.716699,24.3,0.1675547,117.8,14
"Louisiana",1988,110.9,9.744105,24.6,0.1627566,120.4,14
"Louisiana",1989,103.6,9.750066,24.4,0.1579585,130.7,14
"Louisiana",1990,101.5,9.770264,26.4,0.1531605,143.4,14
"Louisiana",1991,107.2,9.784423,26.1,NA,149.6,14
"Louisiana",1992,108.5,9.805567,26.7,NA,178.1,14
"Louisiana",1993,106.2,9.821536,26.5,NA,180.5,14
"Louisiana",1994,105.3,9.860993,27.1,NA,157.4,14
"Louisiana",1995,105.7,9.910527,26.1,NA,155.8,14
"Louisiana",1996,106.8,9.923664,26.5,NA,165.3,14
"Louisiana",1997,105.3,9.926509,26.7,NA,166.9,14
"Louisiana",1998,103.2,NA,NA,NA,185.9,14
"Louisiana",1999,101,NA,NA,NA,208,14
"Louisiana",2000,104.3,NA,NA,NA,281.2,14
"Maine",1970,128.5,NA,NA,0.1690141,38,15
"Maine",1971,133.2,NA,NA,0.1703349,38.8,15
"Maine",1972,136.5,9.59714,NA,0.1716557,41.5,15
"Maine",1973,138,9.647285,NA,0.1729765,41,15
"Maine",1974,142.1,9.636234,NA,0.1742973,41.8,15
"Maine",1975,140.7,9.60089,NA,0.1756181,46.7,15
